수소충전소,주소,위도,경도
대구 주행시험장 수소충전소,대구 달성군 구지면 국가산단서로 201 (창리),35.64666592,128.4009782
하이넷 성서 수소충전소,대구 달서구 성서공단로 97 (갈산동),35.84393453,128.4901429
대구관음수소충전소,대구 북구 관음로 127 (관음동),35.94290898,128.5415789
대구혁신도시수소충전소,대구 동구 첨단로 120 (신서동),35.88674184,128.7301055
합천주유소,대구 서구,35.88966424,128.5450202
(주)담티주유소,대구 수성구,35.85442965,128.6556238
조양주유소,대구 중구,35.86265013,128.6031984
수성구,고산1동,35.8353571,128.7121375
달서구,월성1동,35.8195561,128.5228806
달서구,송현동,35.829258,128.5547037
달서구,진천동,35.8122129,128.5228173
달서구,성당동,35.8405861,128.5530987
달성군,다사읍,35.8618434,128.4539279
남구,대명동,35.8417466,128.5735554
