위치명,위도,경도
가르뱅이공원,35.88037322,128.5243123
감삼못공원,35.85832934,128.5525009
노변공원,35.83882281,128.6989461
대구체육공원,35.82855958,128.6872384
두건골공원,35.85812759,128.6516914
매호공원,35.84497151,128.7036788
무학산공원,35.83405086,128.6340382
범물공원,35.81831439,128.6431569
범어공원,35.84731899,128.6329397
상리공원,35.86259025,128.5311412
수성공원,35.86057091,128.6149079
신매공원,35.83235117,128.7090366
야시골공원,35.8631838,128.6324647
의료1공원,35.83359295,128.6913505
의료2공원,35.83614927,128.6805366
의료공원,35.83654401,128.6939424
이현공원,35.87294292,128.5439635
지산공원,35.82109266,128.6377316
평리공원,35.87232126,128.5579178
화랑공원,35.87104952,128.6396264
