,유치원명,주소,위도,경도
125,개나리유치원,대구광역시 수성구 무학로37안길 20-5,35.833233465,128.628200033
127,고운유치원,대구광역시 수성구 노변공원로 75-7,35.836003176,128.698318928
128,금강숲유치원,대구광역시 수성구 동대구로50길 108,35.849604226,128.628531254
137,대구동도초등학교병설유치원,대구광역시 수성구 동대구로57길 8,35.856772178,128.623528709
138,대구동문초등학교병설유치원,대구광역시 수성구 효행로2길 111,35.874846717,128.652409425
140,대구동원초등학교병설유치원,대구광역시 수성구 국채보상로 1000,35.865170877,128.640100547
142,대구동천초등학교병설유치원,대구광역시 수성구 상록로16길 20,35.866102567,128.624725470
144,대구두산초등학교병설유치원,대구광역시 수성구 동대구로6길 31,35.832596959,128.626089851
145,대구범어초등학교병설유치원,대구광역시 수성구 달구벌대로489길 55,35.860673286,128.632950570
146,대구복명초등학교병설유치원,대구광역시 수성구 범안로20길 8,35.817629058,128.647305058
160,대구중앙초등학교병설유치원,대구광역시 수성구 만촌로 125,35.870260573,128.640337581
164,대구황금유치원,대구광역시 수성구 청호로 286,35.843035685,128.639686191
167,동신유치원,대구광역시 수성구 교학로4길 39,35.855029455,128.650285322
168,동영유치원,대구광역시 수성구 파동로51길 80,35.822350453,128.608820831
170,라온유치원,대구광역시 수성구 청수로45길 32,35.841990496,128.633004133
171,리리유치원,대구광역시 수성구 신천동로34길 19,35.840608984,128.608929892
172,마리아유치원,대구광역시 수성구 범어천로 90,35.856478180,128.622983339
173,만촌아이숲유치원,대구광역시 수성구 달구벌대로522길 166,35.851342031,128.644151689
174,무열대유치원,대구광역시 수성구 만촌동 599-1,,
175,무지개유치원,대구광역시 수성구 용학로 197,35.821959433,128.630517407
177,범어유치원,대구광역시 수성구 국채보상로186길 121,35.863011648,128.634392993
179,보노유치원,대구광역시 수성구 국채보상로 955-2,35.867916768,128.635308683
180,비안네유치원,대구광역시 수성구 달구벌대로650길 81,35.831099013,128.709086483
182,사랑숲유치원,대구광역시 수성구 용학로 272,35.820173841,128.637530080
184,삼덕유치원,대구광역시 수성구 지범로48길 27,35.814444816,128.643778126
185,색동유치원,대구광역시 수성구 충의로8길 33,35.867168697,128.646491822
188,수성무지개유치원,대구광역시 수성구 천을로 16,35.844444544,128.692703656
189,수성유치원,대구광역시 수성구 신천동로96길 45,35.864750466,128.616140617
190,수정유치원,대구광역시 수성구 달구벌대로650길 21,35.836450216,128.710268870
191,스톤릿지유치원,대구광역시 수성구 신매로 51,35.835477577,128.706338460
192,시지아이숲유치원,대구광역시 수성구 달구벌대로625길 25,35.844290034,128.699387158
193,신세계유치원,대구광역시 수성구 신천동로62길 17,35.852537053,128.609992208
197,아이온유치원,대구광역시 수성구 지범로31안길 5,35.824490602,128.640628300
199,아일랜드유치원,대구광역시 수성구 국채보상로 990-10,35.865391703,128.638310467
202,예나유치원,대구광역시 수성구 욱수천로 133,35.839388763,128.715812294
210,이바유치원,대구광역시 수성구 파동로30길 61,35.821533579,128.615528633
212,자연누리유치원,대구광역시 수성구 노변로 100,35.839667309,128.700723693
214,자연아이유치원,대구광역시 수성구 동원로12길 12,35.863676677,128.640251883
217,천사유치원,대구광역시 수성구 신매로 91,35.837509964,128.708188091
218,코오롱아인슈타인유치원,대구광역시 수성구 수성로 412,35.863472417,128.615062680
219,프랜즈유치원,대구광역시 수성구 국채보상로200길 9,35.865367433,128.640442699
220,하늘빛유치원,대구광역시 수성구 지범로40길 11,35.818376568,128.641250484
221,하늘유치원,대구광역시 수성구 노변공원로3길 10,35.840334219,128.699917049
222,한국예술유치원,대구광역시 수성구 용학로34길 8,35.822069334,128.627109525
223,해맑은몬테소리유치원,대구광역시 수성구 들안로32길 19,35.844540220,128.618023547
230,달서유치원,대구광역시 서구 국채보상로 342,35.871551306,128.568142436
235,대구내서초등학교병설유치원,대구광역시 서구 달구벌대로371길 35,35.864013228,128.566972353
236,대구달서초등학교병설유치원,대구광역시 서구 국채보상로34길 35,35.866522465,128.551019303
237,대구달성초등학교병설유치원,대구광역시 서구 고성로 127,35.882795475,128.579625726
239,대구대성초등학교병설유치원,대구광역시 서구 국채보상로 426,35.870424630,128.577143651
243,대구북비산초등학교병설유치원,대구광역시 서구 통학로48길 7,35.881538255,128.564375350
247,대구서부초등학교병설유치원,대구광역시 서구 달서로26길 25,35.873345323,128.573443023
248,대구서평초등학교병설유치원,대구광역시 서구 서대구로45길 60,35.878328830,128.547542473
251,대구이현초등학교병설유치원,대구광역시 서구 국채보상로37길 35,35.873504869,128.550281301
252,대구인지유치원,대구광역시 서구 서대구로66길 22,35.886861476,128.567297743
253,대구중리초등학교병설유치원,대구광역시 서구 국채보상로 135,35.869366661,128.544637317
256,대구평리초등학교병설유치원,대구광역시 서구 국채보상로53길 6-5,35.872400842,128.560711862
261,동양유치원,대구광역시 서구 평리로78길 8-12,35.865490167,128.565126548
268,상지유치원,대구광역시 서구 달서로 33,35.865553847,128.570025761
270,세화유치원,대구광역시 서구 서대구로5길 56,35.860007656,128.550490335
283,창의나라유치원,대구광역시 서구 서대구로42길 53,35.877256075,128.561113435
